,Radiant_team_id,Radiant_team_rating,Dire_team_id,Dire_team_rating,Radiant_hero1,Radiant_hero2,Radiant_hero3,Radiant_hero4,Radiant_hero5,Dire_hero1,Dire_hero2,Dire_hero3,Dire_hero4,Dire_hero5,Radiant_win,Radiant_fb,Radiant_10kill,start_time
303,2512249,1155.77,1276923,1000,111,49,48,51,66,100,7,30,25,15,True,False,True,1451525709
305,4958284,1126.73,2267264,1059.69,68,38,23,114,13,7,27,107,47,18,True,True,True,1508237788
306,2202484,1000,3332295,1215.38,57,48,3,51,47,62,86,108,70,35,False,True,False,1481731068
307,3,1287.81,2672298,1125.65,100,63,75,47,29,65,86,107,39,18,False,False,True,1495671196
308,2790766,1241.4,4425117,1073.52,51,4,21,99,29,88,39,3,38,109,False,True,False,1498505076
309,5028104,1105.7,2512249,1155.77,31,69,7,43,12,60,5,70,51,61,True,False,True,1505785097
312,4988859,1000,4254415,1034.16,60,45,87,98,56,36,71,91,19,53,False,False,False,1508861534
313,1883502,1568.6,2783913,1160.23,110,107,2,93,21,86,29,54,101,17,True,True,False,1464202952
314,2447863,1079.14,2294761,1000,7,30,21,1,11,52,75,26,50,53,True,False,True,1437642370
317,2512249,1155.77,2640099,1192.2,9,16,50,67,25,28,26,103,55,80,False,False,True,1462565014
321,3325212,1302.09,3623669,1000,8,16,85,107,11,28,63,86,40,76,True,True,True,1489741218
323,5027210,1303.93,5229127,1243.49,23,30,49,72,25,19,86,51,11,103,True,True,False,1523713350
324,2659468,1165.6,350190,1338.47,37,88,23,76,93,65,103,87,70,57,False,False,True,1476421868
325,2634810,1192.02,2860081,1093.46,18,27,55,25,32,88,79,39,74,100,False,True,False,1496645826
328,5059375,1123.97,5039050,1180.83,30,51,8,76,65,68,16,23,49,54,True,False,True,1515704112
329,4,1160.77,1883502,1568.6,15,112,62,25,100,72,68,39,86,29,True,False,True,1438295410
330,1964407,1000,46,1171.65,37,96,8,32,46,114,65,86,70,74,True,False,True,1492706833
333,3346336,1000,4,1160.77,28,54,37,2,46,97,23,50,44,20,False,False,True,1490076038
334,3704482,1096.81,4992601,1000,68,78,92,28,89,41,23,87,95,98,True,True,False,1502805692
